number,value,datetime_start,datetime_complete,duration,params_sac.alpha_lr,state
0,105.89,2025-11-29 16:52:04.454653,2025-11-29 16:54:46.453297,0 days 00:02:41.998644,4.879848613390259e-05,COMPLETE
1,56.92,2025-11-29 16:54:46.453555,2025-11-29 16:56:37.534239,0 days 00:01:51.080684,2.7810898224017822e-05,COMPLETE
2,50.95,2025-11-29 16:56:37.534406,2025-11-29 16:58:20.221174,0 days 00:01:42.686768,0.008370048942985162,COMPLETE
3,48.64,2025-11-29 16:58:20.221367,2025-11-29 16:59:57.140839,0 days 00:01:36.919472,0.009745908210628242,COMPLETE
4,76.3,2025-11-29 16:59:57.140981,2025-11-29 17:02:17.752264,0 days 00:02:20.611283,0.030643899625215555,COMPLETE
