number,value,datetime_start,datetime_complete,duration,params_policy_net.hidden_sizes,params_q_net.hidden_sizes,params_sac.actor_lr,params_sac.critic_lr,params_sac.gamma,params_sac.tau,state
0,1.0,2025-11-24 11:51:04.783360,2025-11-24 11:51:32.098401,0 days 00:00:27.315041,"[128, 128]","[256, 256]",1.0802213334631418e-05,2.530330623494968e-05,0.9986400697760203,0.005046121964970026,COMPLETE
1,1.0,2025-11-24 11:51:32.098761,2025-11-24 11:51:56.407828,0 days 00:00:24.309067,"[256, 256]","[64, 64]",2.4731258057908227e-05,0.00027562794789289625,0.9954468622048915,0.017383889594006306,COMPLETE
