number,value,datetime_start,datetime_complete,duration,params_sac.alpha_lr,state
0,,2025-11-29 16:33:18.529151,2025-11-29 16:33:20.197968,0 days 00:00:01.668817,0.0035061599889844117,PRUNED
1,,2025-11-29 16:33:20.198141,2025-11-29 16:33:21.499220,0 days 00:00:01.301079,0.008477099373315457,PRUNED
