number,value,datetime_start,datetime_complete,duration,params_policy_net.hidden_sizes,params_q_net.hidden_sizes,params_sac.actor_lr,params_sac.critic_lr,params_sac.gamma,params_sac.tau,state
0,1.0,2025-11-24 12:00:20.208395,2025-11-24 12:00:54.818548,0 days 00:00:34.610153,"[256, 256]","[128, 128]",1.7416028609913718e-05,4.696931087368231e-05,0.9678019196883899,0.015430660321845611,COMPLETE
1,1.0,2025-11-24 12:00:54.818997,2025-11-24 12:01:29.246894,0 days 00:00:34.427897,"[128, 128]","[128, 128]",0.0008354910720824808,0.0004893064352908559,0.9765131969815547,0.006617453085882854,COMPLETE
